"מקט פריט","תיאור עברית","תיאור אנגלית","קיים?","מחיר ספק","קטגוריה","אחוז רווח","CBM","יחידות בקרטון","חסרים"
"100-506","תבנית טוסטר אובן (8) ארוז 25 בקרטון","Cake Pan (8) 25 pcs in a cas","כן","27.5","-","12","0.043","25","הכל בסדר"
"100-506-10","תבנית מלבן(10יח') ארוז 15 בקרטון","Oblong 5 lb Pan (packed 10) 15 in a case","כן","13.46","-","12","0.045","15","הכל בסדר"
"100-506200-10","תבנית מלבן+מכסה(10יח') ארוז 9 בקרטון","Oblong 5 lb Pan+Lid (packed 10) 9 in a case","כן","8.35","-","12","-","9","CBM לקרטון"
"100-506211","תבנית לעוגה + מכסה אלומיניום (7+7) ארוז 28 בקרטון","Oblong 5 lb Pan with aluminum lid (7+7) 28 pcs in a cas","כן","38.08","-","12","0.15","24","הכל בסדר"
"100-506250","תבנית לעוגה + מכסה אלומיניום (5+5) ארוז 24 בקרטון","Oblong 5 lb Pan+ aluminum lid (5+5) 24 pcs in a cas","כן","25.68","-","12","0.112","24","הכל בסדר"
"100-506-50","תבנית לעוגה מלבן 5# ‏ארוז 50 בקרטון","Oblong 5 lb Pan (packed 50)","כן","-","-","12","0.008","50","מחיר ספק"
"100-506-800","תבנית מלבן(800 יח')","Oblong 5 lb Pan (packed 800)","כן","61.2","-","12","-","800","CBM לקרטון"
"100-506900","תבנית לעוגה + מכסה ( 5+5) ארוז 20 בקרטון","Oblong 5 lb Pan with ps lid (5+5) 20 pcs in a cas","כן","17.94","-","12","0.076","20","הכל בסדר"
"100-506900-48","תבנית לעוגה + מכסה ( 5+5) ארוז 48 בקרטון","Oblong 5 lb Pan with ps lid (5+5)48pcs in a cas","כן","35.15","-","12","0.158","48","הכל בסדר"
"100-506911","תבנית לעוגה + מכסה שקוף (11+11) ארוז 24 בקרטון","Oblong 5 lb Pan with ps lid (11+11) 24 pcs in a cas","כן","34.08","-","12","0.119","24","הכל בסדר"
"100-507900","תבנית בינונית עמוקה עם מכסה שקוף( 5,5) ארוז 48 בקרטון","Oblong 5 lb Pan with ps lid (5,5) 48 pcs in a cas","כן","48.2","-","12","0.072","48","הכל בסדר"
"100-508","תבנית טוסטר אובן ( 8) ארוז 25 בקרטון","Cake Pan (8) 25 pcs in a cas","כן","-","-","12","-","25","מחיר ספק; CBM לקרטון"
"100-508211","תבנית טוסטר אובן+מכסה אלומיניום (8+8) ארוז 24 בקרטון","Cake Pan with aluminum lid (8+8) 24 pcs in a cas","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-508250","תבנית טוסטר אובן+מכסה אלומיניום (5+5) ארוז 24 בקרטון","Cake Pan with aluminum lid (5+5) 24 pcs in a cas","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-508-250","תבנית טוסטר אובן( 250 יח')","Cake Pan (packed 250)","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-508900","תבנית טוסטר אובן + מכסה ( 4+4) ארוז 40 בקרטון","Cake Pan with ps lid (4+4) 40 pcs in a cas","כן","29.67","-","12","0.102","40","הכל בסדר"
"100-508900-60","תבנית טוסטר אובן + מכסה ( 4+4) ארוז 60 בקרטון","Cake Pan with ps lid (4+4) 60 pcs in a cas","כן","-","-","12","0.057","60","מחיר ספק"
"100-508911","תבנית טוסטר אובן + מכסה שקוף ( 9+9) ארוז 24 בקרטון","Cake Pan with ps lid (9+9) 24 pcs in a cas","כן","34.8","-","12","0.12","24","הכל בסדר"
"100-509900","תבנית טוסטר אובן עם מכסה שקוף( 4,4) ארוז 60 בקרטון","Cake Pan with ps lid (4,4) 60 pcs in a cas","כן","58.88","-","12","0.106","60","הכל בסדר"
"100-510","תבנית בייסיק (4 יח') ארוז 50 בקרטון","Half-size steam (packed 4) 50 in a case","כן","26.9","-","12","0.065","50","הכל בסדר"
"100-510-10","תבנית תנור אמריקאי (10 יח')ארוז 10 בקרטון","Half-size steam (packed 10)10 in a case","כן","11.35","-","12","0.035","10","הכל בסדר"
"100-510-100","תבנית תנור אמריקאי (100 יח')","Half-size steam (packed 100)","כן","11.93","-","12","0.037","100","הכל בסדר"
"100-510211","תבנית בייסיק+מכסה אלומיניום (8+8) ארוז 24 בקרטון","Half-size steam with aluminum lid(8+8) 24 in a case","כן","19.44","-","12","0.179","24","הכל בסדר"
"100-51030","תבנית תנור אמריקאי(30 יח)ארוז 8 בקרטון","Half-size steam ( packed 30) 8 in a case","כן","29.2","-","12","0.084","8","הכל בסדר"
"100-510-30","תבנית תנור אמריקאי(4 יח)ארוז 30 בקרטון","Half-size steam (packed 4)30 in a case","כן","14.88","-","12","0.042","30","הכל בסדר"
"100-510900","תבנית תנור אמריקאי עם מכסה שקוף(2+2) ארוז 40 בקרטון","Half-size steam with pvc lid (2+2) 40 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-512","תבנית תנור (8 יח') ארוז 25 בקרטון","Half-size steam (packed 8) 25 in a case","כן","25","-","12","0.065","25","הכל בסדר"
"100-512-46","תבנית תנור (4 יח') ארוז 46 בקרטון","Half-size steam (packed 4) 46 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-520","תבנית תנור עמוקה(3 יח') ארוז 35 בקרטון","Exstra deep half-size steam (packed 3) 35 in a case","כן","25.6","-","12","0.055","35","הכל בסדר"
"100-520-100","תבנית סיר (100 יח')","Exstra deep half-size steam (packed 100) 55gram","כן","22.6","-","12","0.05","100","הכל בסדר"
"100-520-50","תבנית תנור עמוקה (2 יח') ארוז 50 בקרטון","Exstra deep half-size steam (packed 2) 50 in a case","כן","25.52","-","12","0.051","50","הכל בסדר"
"100-607","מאפינס 7ס"מ (50 יח') ארוז 50 בקרטון","Muffin pan 7cm(packed 50) 50 pcs in a case","כן","28","-","12","0.051","50","הכל בסדר"
"100-610","מאפינס אישי 8.5 ס"מ (50 יח') ארוז 50 בקרטון","Muffin Pan 8.5"(packed 50) 50 in a case","כן","28","-","12","0.06","50","הכל בסדר"
"100-610-30","מאפינס אישי 8.5 ס"מ (50 יח') ארוז 30 בקרטון","Muffin Pan 8.5"(packed 50) 30 in a case","כן","16.2","-","12","0.033","30","הכל בסדר"
"100-611","תבנית עגולה 15 ס"מ (16 יח') ארוז 48 בקרטון","Round Pan 6" (packed 16) 48 in a case","כן","31.44","-","12","0.053","48","הכל בסדר"
"100-611900","תבנית 15 ס"מ+מכסה ( 12+12 יח') ארוז 24 בקרטון","Round Pan 6" with ps lid (12+12) 24 in a case","כן","18.6","-","12","0.057","24","הכל בסדר"
"100-612","תבנית 18 ס"מ ( 5 יח') ארוז 48 בקרטון","Round Pan 7" (packed 5) 48 in a case","כן","-","-","12","0.051","48","מחיר ספק"
"100-612-100","תבנית עגולה "7 ארוז 100 בקרטון","Round Pan 7" (packed 100)","כן","2.74","-","12","0.011","100","הכל בסדר"
"100-612200","תבנית עגולה 18 ס"מ+מכסה קרטון (10+10) ארוז 52 בקרטון","Round Pan 7" with ps lid (10+10) 52 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-612-500","תבנית עגולה "7  ( 500 יח')","Round Pan 7" (packed 500)","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-612900","תבנית 18 ס"מ+מכסה ( 10+10 יח') ארוז 52 בקרטון","Round Pan 7" with ps lid (10+10) 52 in a case","כן","31.05","-","12","0.08","52","הכל בסדר"
"100-614","תבנית עגולה 21 ס"מ (8 יחי) ארוז 40 בקרטון","8" Round Pan (packed 8) 40 packs in a carton","כן","-","-","12","0.058","40","מחיר ספק"
"100-614-500","(500 יחי) ארוז 40 בקרטון","Round Pan 8" (packed 500)","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-614900","תבנית עגולה 21 ס"מ+מכסה (8+8) ארוז 56 בקרטון","Round Pan 8" with ps lid (8+8) 56 in a case","כן","32.59","-","12","0.123","56","הכל בסדר"
"100-615","תבנית עגולה 23 ס"מ (7 יח') ארוז 40 בקרטון","Round Pan 9" (packed 7) 40 in a case","כן","18.74","-","12","0.064","40","הכל בסדר"
"100-615-100","תבנית 9" עגול ארוז 100 בקרטון","Round Pan 9" (packed 100)","כן","6.3","-","12","0.029","100","הכל בסדר"
"100-615-500","תבנית 9" עגול (500 יח')","Round Pan 9" (packed 500)","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-615900","תבנית עגולה 23 ס"מ+מכסה(6+6) ארוז 30 בקרטון","Round Pan 9" with ps lid (6+6) 30 in a case","כן","17.88","-","12","0.097","30","הכל בסדר"
"100-615911","תבנית עגולה 23 ס"מ+מכסה שקוף(14+14) ארוז 24 בקרטון","Round Pan 9" with ps lid (14+14) 24 in a case","כן","26.28","-","12","0.134","24","הכל בסדר"
"100-616","תבנית עגולה 26 ס"מ ( 5 יח') ארוז 30 בקרטון","Round Pan 6' (packed 5) 30 in a case","כן","23.4","-","12","0.066","30","הכל בסדר"
"100-616-40","תבנית עגולה 26 ס"מ ( 4 יח') ארוז 40 בקרטון","Round Pan 10" (packed 4) 40 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-620","תבנית עגולה עמוקה 26ס"מ (5 יח') ארוז 40 בקרטון","Rnd Pan 10" (packed 5) 40 in a case","כן","29.04","-","12","0.061","40","הכל בסדר"
"100-620-200","תבנית עגול 10" (200 יח')","Rnd Pan 10" (packed200)","כן","29.6","-","12","0.052","200","הכל בסדר"
"100-620-500","תבנית עגול 10" (500 יח')","Rnd Pan 10" (packed 500)","כן","68","-","12","0.171","500","הכל בסדר"
"100-630","תבנית פלא 20 ס"מ(100 יח')","Doughnet Pan 20cm(Packed 100)","כן","9.7","-","12","0.025","100","הכל בסדר"
"100-631","תבנית פלא 25 ס"מ(100 יח')","Doughnet Pan 25cm(Packed 100)","כן","16.5","-","12","0.034","100","הכל בסדר"
"100-635","תבנית פיצה 32 ס"מ(100 יח')","Pizza pan 32cm (packed 100)","כן","11","-","12","0.033","100","הכל בסדר"
"100-640","תבנית עגולה עמוקה 26ס"מ (7 יח') ארוז 25 בקרטון","Rnd Pan 10" (packed 7) 25 in a case","כן","20.3","-","12","0.055","25","הכל בסדר"
"100-705","תבנית אובלית XS (30 יח')ארוז 36 בקרטון","XS Oval Pan (Packed 30) 36 in a case","כן","23.5","-","12","0.033","36","הכל בסדר"
"100-705-1000","תבנית אובל   (1000 יח')","Oval Pan (Packed 1000)","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-710","תבנית חלה s (6 יח') ארוז 80 בקרטון","Smal Loaf Pan ( packed 6) 80 in a case","כן","38.97","-","12","0.064","80","הכל בסדר"
"100-71011","תבנית חלה s (18 יח') ארוז 20 בקרטון","Smal Loaf Pan ( packed 18) 20 in a case","כן","28.7","-","12","0.02","20","הכל בסדר"
"100-710-500","תבנית חלה אובל s (500 יח')","Oval Challa Pan ( packed 500)","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-715","תבנית חלה M (5 יח')ארוז 48 בקרטון","Midium Loaf Pan (Packed 5) 48 in a case","כן","25.44","-","12","0.041","48","הכל בסדר"
"100-71511","תבנית חלה M (16 יח')ארוז 20 בקרטון","Midium Loaf Pan (Packed 16) 20 in a case","כן","29.3","-","12","0.061","20","הכל בסדר"
"100-715-480","תבנית אובל  (480 יח')","Oval Pan SFC363 135*270 (Packed 480)","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-720","תבנית חלה L (4 יח') ארוז 50 בקרטון","Large Loaf Pan (packed 4) 50 packs in a case","כן","29","-","12","0.054","50","הכל בסדר"
"100-720/7","תבנית חלה L (7 יח') ארוז 24 בקרטון","Large Loaf Pan (packed 7) 24 packs in a case","כן","24","-","12","0.047","1","הכל בסדר"
"100-72011","תבנית חלה L (12 יח') ארוז 20 בקרטון","Large Loaf Pan (packed 12) 20 packs in a case","כן","31.08","-","12","0.051","20","הכל בסדר"
"100-720-200","תבנית חלה אובל L (200 יח')","L Oval Challa Pan  (packed 200)","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-750","סיר אלומיניום מרובע M (ארוז 2,2) 30,30 בקרטון","M  Square Pot CA180/G (packed 2,2) 30,30 combo box","כן","17.94","-","12","0.05","30","הכל בסדר"
"100-750100","סיר אלומיניום מרובע S (ארוז 50+50)","M Square Pot (packed 50+50)","כן","11.86","-","12","0.028","50","הכל בסדר"
"100-760","סיר אלומיניום מרובע L (ארוז 2,2) 30,30 בקרטון","L  Square Pot CA181/G (packed 2,2) 30,30 combo box","כן","25.68","-","12","0.071","30","הכל בסדר"
"100-760100","סיר אלומיניום מרובע L (ארוז 50+50)","L Square Pot  (packed 50+50)","כן","18.54","-","12","0.042","50","הכל בסדר"
"100-810","תבנית מאפינס שישייה (7 יח') ארוז 40 בקרטון","6-Muffins Pan (packed 7) 40 in a case","כן","22.81","-","12","0.066","40","הכל בסדר"
"100-810-200","תבנית מאפינס שישייה (200 יח')","Muffins Pan (packed 200)","כן","13.09","-","12","0.045","200","הכל בסדר"
"100-810-50","תבנית מאפינס שישייה ארוז 50 בקרטון","Muffins Pan (packed 50)","כן","4.36","-","12","0.012","50","הכל בסדר"
"100-811","סיר אלומיניום Mini (ארוז 10) 24 בקרטון","Mini Pot YT054/G (packed 10) 24 combo box","כן","13.44","-","12","0.021","24","הכל בסדר"
"100-811100","סיר אלומיניום Mini (ארוז 12+12) 50 מארזים בקרטון","Mini Pot SFP090 (packed 12+12) 50 in case","כן","18.3","-","12","0.052","50","הכל בסדר"
"100-812","סיר אלומיניום XS(ארוז 2,2) 30,30 בקרטון","XS Pot YT075/G (packed 2,2) 30,30 combo box","כן","10.54","-","12","0.025","30","הכל בסדר"
"100-812100","סיר אלומיניום XS (ארוז 50+50)","XS Pot SFP080 (packed 50+50)","כן","5.75","-","12","0.017","50","הכל בסדר"
"100-813","סיר אלומיניום S(ארוז 2,2) 30,30 בקרטון","S Pot YT018/G (packed 2,2) 30,30 combo box","כן","13.89","-","12","0.027","30","הכל בסדר"
"100-813100","סיר אלומיניום S (ארוז 50+50)","S Pot SFP100 (packed 50+50)","כן","7.65","-","12","0.028","50","הכל בסדר"
"100-814","סיר אלומיניום M(ארוז 2,2) 30,30 בקרטון","M Pot YT020 (packed 2,2) 30,30 combo box","כן","22.8","-","12","0.062","30","הכל בסדר"
"100-814100","סיר אלומיניום M (ארוז 50+50)","M Pot SFP120 (packed 50+50)","כן","13.65","-","12","0.043","50","הכל בסדר"
"100-815","סיר אלומיניום L (ארוז 2,2) 30,30 בקרטון","L Pot YT036/G (packed 2,2) 30,30 combo box","כן","26.85","-","12","0.081","30","הכל בסדר"
"100-815100","סיר אלומיניום L (ארוז 50+50)","L Pot SFP130 (packed 50+50)","כן","18.25","-","12","0.056","50","הכל בסדר"
"100-816","סיר אלומיניום XL(ארוז 2,2) 30,30 בקרטון","XL Pot YT061/G (packed 2,2) 30,30 combo box","כן","39","-","12","0.121","30","הכל בסדר"
"100-816100","סיר אלומיניו XL (ארוז 50+50)","XL Pot  (packed 50+50)","כן","25","-","12","0.078","50","הכל בסדר"
"100-817100","סיר אלומיניום XXL (ארוז 50+50)","XXL Pot  (packed 50+50)","כן","31.4","-","12","0.088","50","הכל בסדר"
"100-830","סיר אלומיניום S ללא מכסה( 2 יח') ארוז 24 בקרטון","S Pot without lid (packed 2) 24 in a case","כן","7.65","-","12","-","24","CBM לקרטון"
"100-860-50","סיר אלומיניום XL ללא מכסה (50 יח')","XL Pot without lid (packed 50)","כן","16.72","-","12","-","50","CBM לקרטון"
"100-950","תבנית אלומיניום R24 (ארוז 10) 100 בקרטון","Pan TV divided  R24 (packed 10) 100 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-9-50600","תבנית TV מחולק R24 ארוז 600 בקרטון","Pan TV divided  R24 11.3gr 600 pcs in a case","כן","18.98","-","12","0.061","600","הכל בסדר"
"100-9-50700","תבנית TV  R29 ארוז 600 בקרטון","Pan TV R29 600 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-9-50800","מכסה אלומיניום לתבנית TV ארוז 600 בקרטון","Aluminum lid for TV pan, packed 600 per carton","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-C10-00500","תבנית אלומיניום עגולה C10 (תפזורת) ארוז 600 בקרטון","Aluminum Pan C10 (bulk) 600 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-C10-05042","תבנית אלומניום C10 (5 יח')ארוז 40 בקרטון","Aluminum Pan C10 (packed 5) 40 pcs in case","כן","14.08","-","12","0.052","40","הכל בסדר"
"100-C10-07030","תבנית אלומניום C10 (7 יח')ארוז 30 בקרטון","Aluminum Pan C10 (packed 7) 30 pcs in case","כן","13.55","-","12","0.05","30","הכל בסדר"
"100-C10-08030","תבנית אלומיניום עגולה C10 (8 יח') ארוז 30 בקרטון","Round Pan C10(packed 8) 30 pcs in case","כן","-","-","12","0.051","30","מחיר ספק"
"100-C7-001000","תבנית אלומינום עגולה C7(תפזורת)ארוז 1000 בקרטון","Aluminum Pan C7 (bulk) 1000 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-C8-08040","תבנית אלומניום C8 (8 יח') ארוז 40 בקרטון","Aluminum Pan C8(packed 8) 40 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R15-001000","תבנית אינגליש קצר R15(תפזורת) ארוז 1000 בקרטון","Aluminum Pan R15 (bulk) 1000 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R15-12030","תבנית אינגליש קצר R15(10 יח') ארוז 30 בקרטון","Aluminum Pan R15 (packed 10) 30 pcs in a case","כן","13.7","-","12","0.056","30","הכל בסדר"
"100-R15-12040","תבנית אינגליש קצר R15(12 יח') ארוז 40 בקרטון","Aluminum Pan R15 (packed 12)40 pcs in a case","כן","22.85","-","12","0.053","40","הכל בסדר"
"100-R2-00500","תבנית אלומניום מלבנית R2(תפזורת) ארוז 500 בקרטון","Aluminum Pan R2(bulk) 500 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R2-06030","תבנית אלומניום מלבנית R2(6 יח') ארוז 30 בקרטון","Aluminum Pan R2(packed 6) 30 pcs in a case","כן","14.1","-","12","0.034","30","הכל בסדר"
"100-R2-06100","תבנית אלומניום מלבנית R2(6 יח') ארוז 100 בקרטון","Aluminum Pan R2(packed 6) 100 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R2-07030","תבנית אלומניום מלבנית R2(7 יח') ארוז 30 בקרטון","Aluminum Pan R2(packed 7 30 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R2-07040","תבנית אלומניום מלבנית R2(7 יח') ארוז 40 בקרטון","Aluminum Pan R2(packed 7) 40 pcs in a case","כן","22.26","-","12","0.047","40","הכל בסדר"
"100-R2-09030","תבנית אלומניום מלבנית R2(9 יח') ארוז 30 בקרטון","Aluminum Pan R2(packed 9) 30 pcs in a case","כן","25.14","-","12","0.07","30","הכל בסדר"
"100-R2-100100","תבנית אלומניום מלבנית R2(10 יח') ארוז 100 בקרטון","Aluminum Pan R2(packed 10) 100pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R2-10060","תבנית אלומניום מלבנית R2(10 יח') ארוז 60 בקרטון","Aluminum Pan R2(packed 10) 60 pcs in a case","כן","32.76","-","12","0.123","60","הכל בסדר"
"100-R24-001000","תבנית TV מחולק R24(תפזורת) ארוז 400בקרטון","Pan TV divided  R24 (bulk)1000 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R29-001000","תבנית TV  R29(15 יח') ארוז 40בקרטון","Aluminum Pan R29 (15packed) 40 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R29-00600","תבנית אלומניום  R29 (תפזורת') ארוז 600 בקרטון","Aluminum Pan R29 (bulk) 600 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R29-010-100","תבנית TV  R29(10יח') ארוז 100 בקרטון","Aluminum Pan R29 (10packed) 100 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R29-015040","תבנית TV  R29(15 יח') ארוז 40בקרטון","Aluminum Pan R29 (15packed) 40 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R29-10030","תבנית אלומניום קטנה  R29 (10 יח') ארוז 30 בקרטון","Aluminum Pan R29 (packed 10) 30 pcs in a case","כן","13.5","-","12","0.031","30","הכל בסדר"
"100-R29-10100","תבנית אלומניום קטנה  R29 (10 יח') ארוז 100 בקרטון","Aluminum Pan R29 (packed 10) 100 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R29-12030","תבנית אלומניום קטנה  R29 (12 יח') ארוז 30 בקרטון","Aluminum Pan R29 (packed 12) 30 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R29-12040","תבנית אלומניום קטנה  R29 (12 יח') ארוז 40 בקרטון","Aluminum Pan R29 (packed 12) 40 pcs in a case","כן","21.76","-","12","0.046","40","הכל בסדר"
